GEOID10,County,Year,Poverty_Rate,GDP,Unemployment_Rate,Economic_Index
48001,Anderson County,2020,0.6854838709677419,0.005128533703655239,0.25316455696202533,0.355493368591296
48003,Andrews County,2020,0.2137096774193548,0.006988361787009492,0.41139240506329106,0.4606287597681212
48005,Angelina County,2020,0.5282258064516129,0.008532186228358113,0.3734177215189873,0.3689628860859193
48007,Aransas County,2020,0.5322580645161291,0.001736858762126394,0.4240506329113924,0.3484760537782016
48009,Archer County,2020,0.1209677419354839,0.0006683821680245359,0.22784810126582278,0.5506175129889059
48011,Armstrong County,2020,0.21774193548387097,5.279245632474975e-05,0.15822784810126583,0.5413610029570627
48013,Atascosa County,2020,0.44354838709677424,0.006934898138565584,0.4367088607594936,0.3755592167607659
48015,Austin County,2020,0.30241935483870963,0.003705832805206791,0.3164556962025316,0.46161026058798854
48017,Bailey County,2020,0.4233870967741936,0.0009783876963303868,0.1962025316455696,0.4604629197588557
48019,Bandera County,2020,0.28629032258064513,0.0009107917249330899,0.25949367088607594,0.48504226608607065
48021,Bastrop County,2020,0.2782258064516129,0.006707260135200093,0.27215189873417717,0.4854431849831367
48023,Baylor County,2020,0.45967741935483875,0.0003638021093485479,0.10759493670886074,0.477697148681883
48025,Bee County,2020,0.7741935483870969,0.0018224224400151276,0.5189873417721518,0.2362138440935888
48027,Bell County,2020,0.4354838709677419,0.045446309186317015,0.3354430379746835,0.4248398000812972
48029,Bexar County,2020,0.44758064516129037,0.2803717703317257,0.3734177215189873,0.4864578012171494
48031,Blanco County,2020,0.23790322580645165,0.0010557452515241729,0.1392405063291139,0.5413040043719862
48033,Borden County,2020,0.14516129032258066,0.001055316434336933,0.10759493670886074,0.5827663631342985
48035,Bosque County,2020,0.3467741935483871,0.0014168998808471518,0.24050632911392406,0.4713787924061787
48037,Bowie County,2020,0.5443548387096774,0.009413845019166783,0.36075949367088606,0.36809983754620107
48039,Brazoria County,2020,0.17741935483870971,0.04162863766252507,0.4367088607594936,0.47583347402144066
48041,Brazos County,2020,0.7419354838709677,0.027268402369309247,0.22784810126582278,0.35249493907750623
48043,Brewster County,2020,0.407258064516129,0.0008918305475668674,0.31012658227848094,0.42783572791765234
48045,Briscoe County,2020,0.38306451612903225,0.00011735208242109246,0.189873417721519,0.4757264727439566
48047,Brooks County,2020,1.0,0.0006311363323328301,0.5696202531645568,0.14367029438925868
48049,Brown County,2020,0.4717741935483871,0.0036303876148604483,0.30379746835443033,0.409352908570681
48051,Burleson County,2020,0.3709677419354839,0.0030392964155099406,0.2974683544303797,0.44486773334988206
48053,Burnet County,2020,0.22580645161290322,0.004577309185414103,0.1962025316455696,0.5275227753089804
48055,Caldwell County,2020,0.3548387096774194,0.002502963306547432,0.30379746835443033,0.4479555950915659
48057,Calhoun County,2020,0.342741935483871,0.008373614426746171,0.25949367088607594,0.46871266935226635
48059,Callahan County,2020,0.33467741935483863,0.0006856280766417981,0.24050632911392406,0.47516729320262635
48061,Cameron County,2020,0.8266129032258064,0.029060112442951303,0.531645569620253,0.2236005465322973
48063,Camp County,2020,0.5161290322580645,0.0008533408756860866,0.36075949367088606,0.37465493831557856
48065,Carson County,2020,0.17741935483870971,0.002318976762074345,0.15822784810126583,0.5555572579406997
48067,Cass County,2020,0.5564516129032258,0.0023852063780862125,0.3924050632911392,0.3511761767279071
48069,Castro County,2020,0.45967741935483875,0.0016996981571799784,0.12025316455696201,0.4739230380817931
48071,Chambers County,2020,0.21774193548387097,0.006819367863325063,0.4873417721518987,0.43391188674251846
48073,Cherokee County,2020,0.5161290322580645,0.0035408527169333614,0.3924050632911392,0.36500225238924316
48075,Childress County,2020,0.7056451612903225,0.0005330703694943779,0.12658227848101267,0.3894352101993864
48077,Clay County,2020,0.29032258064516125,0.0004854636713283632,0.24050632911392406,0.48988551797074775
48079,Cochran County,2020,0.6169354838709677,0.00048812979557946425,0.3481012658227848,0.34515046003394234
48081,Coke County,2020,0.30241935483870963,0.00016796316435857767,0.24050632911392406,0.48574742640390833
48083,Coleman County,2020,0.4879032258064516,0.000453699237943117,0.36075949367088606,0.38393032658686854
48085,Collin County,2020,0.09274193548387097,0.18858959068011816,0.29113924050632906,0.601569471563306
48087,Collingsworth County,2020,0.5241935483870968,0.00011282686253835445,0.15822784810126583,0.43923047679139193
48089,Colorado County,2020,0.3548387096774194,0.0020828050303366985,0.24683544303797467,0.4668028841049809
48091,Comal County,2020,0.14516129032258066,0.018693507547178502,0.2784810126582278,0.5316837348554567
48093,Comanche County,2020,0.4838709677419355,0.0010901864630036813,0.24050632911392406,0.4255709632023814
48095,Concho County,2020,0.3870967741935484,0.00023269857886708088,0.17721518987341772,0.47864024483730033
48097,Cooke County,2020,0.2983870967741936,0.005424428216694024,0.3417721518987341,0.45508839318125544
48099,Coryell County,2020,0.3548387096774194,0.004256897515800508,0.31012658227848094,0.4464305351866334
48101,Cottle County,2020,0.564516129032258,6.214386715953085e-05,0.20253164556962028,0.41100478975509375
48103,Crane County,2020,0.2056451612903226,0.0013766869498350398,0.7594936708860758,0.3454126182578123
48105,Crockett County,2020,0.342741935483871,0.0015929892640769677,0.4556962025316455,0.4010516170828535
48107,Crosby County,2020,0.6411290322580645,0.0004856314693581527,0.22784810126582278,0.3771694993151569
